Product code,Station number,Year,Month,Monthly mean daily global solar exposure (MJ/m*m)
IDCJAC0003,097085,2012,03,9.7
IDCJAC0003,097085,2012,04,8.9
IDCJAC0003,097085,2012,05,4.1
IDCJAC0003,097085,2012,06,4.4
IDCJAC0003,097085,2012,07,4.3
IDCJAC0003,097085,2012,08,5.6
IDCJAC0003,097085,2012,09,10.5
IDCJAC0003,097085,2012,10,13.6
IDCJAC0003,097085,2012,11,21.9
IDCJAC0003,097085,2012,12,17.7
IDCJAC0003,097085,2013,01,23.3
IDCJAC0003,097085,2013,02,20.7
IDCJAC0003,097085,2013,03,13.2
IDCJAC0003,097085,2013,04,8.3
IDCJAC0003,097085,2013,05,5.3
IDCJAC0003,097085,2013,06,4.4
IDCJAC0003,097085,2013,07,3.8
IDCJAC0003,097085,2013,08,5.2
IDCJAC0003,097085,2013,09,10.7
IDCJAC0003,097085,2013,10,11.4
IDCJAC0003,097085,2013,11,18.8
IDCJAC0003,097085,2013,12,20.3
IDCJAC0003,097085,2014,01,22.4
IDCJAC0003,097085,2014,02,17.5
IDCJAC0003,097085,2014,03,11.0
IDCJAC0003,097085,2014,04,7.1
IDCJAC0003,097085,2014,05,4.9
IDCJAC0003,097085,2014,06,4.3
IDCJAC0003,097085,2014,07,4.6
IDCJAC0003,097085,2014,08,7.9
IDCJAC0003,097085,2014,09,9.7
IDCJAC0003,097085,2014,10,12.6
IDCJAC0003,097085,2014,11,18.0
IDCJAC0003,097085,2014,12,19.4
IDCJAC0003,097085,2015,01,20.6
IDCJAC0003,097085,2015,02,19.7
IDCJAC0003,097085,2015,03,9.1
IDCJAC0003,097085,2015,04,8.8
IDCJAC0003,097085,2015,05,4.4
IDCJAC0003,097085,2015,06,4.1
IDCJAC0003,097085,2015,07,4.9
IDCJAC0003,097085,2015,08,7.2
IDCJAC0003,097085,2015,09,11.7
IDCJAC0003,097085,2015,10,18.3
IDCJAC0003,097085,2015,11,16.4
IDCJAC0003,097085,2015,12,22.8
IDCJAC0003,097085,2016,01,21.9
IDCJAC0003,097085,2016,02,15.9
IDCJAC0003,097085,2016,03,13.3
IDCJAC0003,097085,2016,04,8.6
IDCJAC0003,097085,2016,05,4.4
IDCJAC0003,097085,2016,06,4.1
IDCJAC0003,097085,2016,07,5.0
IDCJAC0003,097085,2016,08,7.8
IDCJAC0003,097085,2016,09,11.8
IDCJAC0003,097085,2016,10,13.6
IDCJAC0003,097085,2016,11,16.8
IDCJAC0003,097085,2016,12,18.5
IDCJAC0003,097085,2017,01,20.2
IDCJAC0003,097085,2017,02,15.4
IDCJAC0003,097085,2017,03,14.1
IDCJAC0003,097085,2017,04,7.9
IDCJAC0003,097085,2017,05,4.6
IDCJAC0003,097085,2017,06,4.0
IDCJAC0003,097085,2017,07,5.5
IDCJAC0003,097085,2017,08,8.2
IDCJAC0003,097085,2017,09,8.7
IDCJAC0003,097085,2017,10,16.5
IDCJAC0003,097085,2017,11,25.1
IDCJAC0003,097085,2017,12,16.3
IDCJAC0003,097085,2018,01,19.9
IDCJAC0003,097085,2018,02,15.9
IDCJAC0003,097085,2018,03,10.1
IDCJAC0003,097085,2018,04,6.9
IDCJAC0003,097085,2018,05,4.7
IDCJAC0003,097085,2018,06,5.3
IDCJAC0003,097085,2018,07,4.1
IDCJAC0003,097085,2018,08,7.5
IDCJAC0003,097085,2018,09,11.4
IDCJAC0003,097085,2018,10,17.7
IDCJAC0003,097085,2018,11,15.8
IDCJAC0003,097085,2018,12,22.4
IDCJAC0003,097085,2019,01,21.6
IDCJAC0003,097085,2019,02,14.5
IDCJAC0003,097085,2019,03,10.6
IDCJAC0003,097085,2019,04,7.9
IDCJAC0003,097085,2019,05,4.8
IDCJAC0003,097085,2019,06,4.8
IDCJAC0003,097085,2019,07,4.8
IDCJAC0003,097085,2019,08,7.4
IDCJAC0003,097085,2019,09,12.3
IDCJAC0003,097085,2019,10,16.9
IDCJAC0003,097085,2019,11,12.6
IDCJAC0003,097085,2019,12,19.2
IDCJAC0003,097085,2020,01,18.9
IDCJAC0003,097085,2020,02,16.4
IDCJAC0003,097085,2020,03,9.7
IDCJAC0003,097085,2020,04,5.3
IDCJAC0003,097085,2020,05,6.3
IDCJAC0003,097085,2020,06,5.2
IDCJAC0003,097085,2020,07,6.7
IDCJAC0003,097085,2020,08,7.8
IDCJAC0003,097085,2020,09,9.5
IDCJAC0003,097085,2020,10,15.7
IDCJAC0003,097085,2020,11,19.1
IDCJAC0003,097085,2020,12,16.0
IDCJAC0003,097085,2021,01,20.4
IDCJAC0003,097085,2021,02,16.4
IDCJAC0003,097085,2021,03,11.7
IDCJAC0003,097085,2021,04,6.5
IDCJAC0003,097085,2021,05,5.7
IDCJAC0003,097085,2021,06,5.0
IDCJAC0003,097085,2021,07,4.4
IDCJAC0003,097085,2021,08,5.9
