"test","year","month"
2.07677419662468,1973,7
2.37432260513299,1973,8
2.8281333637237,1973,9
4.23716125488276,1973,10
4.55480001449579,1973,11
6.40077417373648,1973,12
8.3952257156371,1974,1
6.36957149505604,1974,2
5.72129039764393,1974,3
3.4417334175109,1974,4
3.14180635452261,1974,5
1.97013334274283,1974,6
1.8749677371978,1974,7
2.00425806045525,1974,8
1.72093333244317,1974,9
3.55096780776971,1974,10
4.45186647415154,1974,11
4.23212900161735,1974,12
5.28296766281121,1975,1
8.12485706329338,1975,2
3.98116134643546,1975,3
3.21560003280633,1975,4
1.7369032478332,1975,5
1.92599996566765,1975,6
1.71070964813226,1975,7
1.52438710212703,1975,8
2.90666666984552,1975,9
3.73019355773919,1975,10
4.34546676635735,1975,11
6.86774185180657,1975,12
7.09083873748769,1976,1
6.35075857162466,1976,2
5.14606466293322,1976,3
3.10746660232536,1976,4
1.80812905311577,1976,5
1.64133333206169,1976,6
1.4863225746154,1976,7
2.15329029083245,1976,8
3.17093339920036,1976,9
3.07806459426873,1976,10
4.41146667480461,1976,11
4.64103231430048,1976,12
6.46812894821159,1977,1
7.78742839813226,1977,2
4.67909679412833,1977,3
2.04706666946405,1977,4
2.15109670639031,1977,5
1.80079998016352,1977,6
1.7692903709411,1977,7
2.42825804710382,1977,8
2.99413328170771,1977,9
4.67999992370603,1977,10
4.43213346481318,1977,11
5.52748394012447,1977,12
6.33612890243526,1978,1
6.35228574752802,1978,2
6.08658065795894,1978,3
3.30186671257016,1978,4
2.96877421379082,1978,5
2.99560001373282,1978,6
1.44877417564386,1978,7
1.8638710212707,1978,8
3.13546668052667,1978,9
3.79199995040888,1978,10
5.07120004653925,1978,11
4.86632249832146,1978,12
7.80270950317377,1979,1
6.79942863464349,1979,2
5.17329036712638,1979,3
3.10986670494074,1979,4
2.40980645179742,1979,5
2.15173334121698,1979,6
1.59845161437981,1979,7
1.8717419815063,1979,8
1.916266670227,1979,9
4.12580652236933,1979,10
5.13826658248894,1979,11
5.83380641937247,1979,12
5.80761291503894,1980,1
6.48262058258049,1980,2
4.50206462860102,1980,3
4.3954668045043,1980,4
2.94322586059563,1980,5
1.62133336067194,1980,6
1.76348388671869,1980,7
2.00980639457696,1980,8
2.10760000228878,1980,9
3.94800001144402,1980,10
6.25679988861075,1980,11
8.4190970611571,1980,12
9.6598710250853,1981,1
8.32342864990222,1981,2
4.19625808715811,1981,3
3.28586662292474,1981,4
2.69987101554863,1981,5
2.089866657257,1981,6
1.8176774311065,1981,7
2.05612905502312,1981,8
2.97306663513179,1981,9
4.56503238677971,1981,10
5.52573320388783,1981,11
6.64270982742299,1981,12
8.20761306762686,1982,1
8.40185718536366,1982,2
6.62993556976308,1982,3
3.09546657562249,1982,4
1.78787095069881,1982,5
2.00373335838312,1982,6
1.93264512062066,1982,7
2.72851609230037,1982,8
3.09160005569452,1982,9
3.69496774673455,1982,10
7.04546676635736,1982,11
6.89780643463126,1982,12
5.70774183273312,1983,1
9.72328552246082,1983,2
5.04632272720329,1983,3
3.4831999778747,1983,4
2.73225807189934,1983,5
2.05013331413264,1983,6
1.95058066368096,1983,7
2.27432254791253,1983,8
2.64066667556757,1983,9
4.00412899017328,1983,10
4.63799987792961,1983,11
7.07380634307851,1983,12
