year,month,gnip,precip,temp,vpd,pet,rad
1972,6,,5.093199959,5.080733471,1.816533337,0.459866676,5.077599926
1972,7,,15.99290318,3.552193546,1.467741938,0.499483883,4.693935394
1972,8,,8.894064369,4.931354904,2.480387068,1.249419379,8.014451675
1972,9,,11.03093319,7.04326683,3.202933292,2.026133356,11.11920029
1972,10,,5.482580776,7.82703228,4.462451744,3.378064442,17.77935501
1972,11,,4.746533508,9.467199936,5.303733177,4.179999886,20.99880035
1972,12,,5.897677345,10.23316151,5.716774178,4.455741978,20.96180679
1973,1,,6.378709602,12.27632217,6.708387108,4.424258137,19.81974182
1973,2,,4.945428543,13.29714294,6.336857204,4.104428692,18.61242928
1973,3,,7.341419315,9.441871223,3.864000053,2.532258081,12.89290333
1973,4,,9.115999794,9.489799881,3.298266659,1.573733311,8.631066475
1973,5,,16.93909637,7.383096886,1.576903219,0.651741943,4.839870815
1973,6,,7.885199986,3.40600008,1.892666626,0.465200012,5.132266636
1973,7,,5.540515995,4.721935596,2.076774197,0.584516132,5.769032173
1973,8,,7.980387096,4.562258129,2.374322605,1.130838728,7.830064697
1973,9,,11.09066635,6.41913353,2.828133364,1.825599995,10.53026688
1973,10,,5.60270977,8.760709496,4.237161255,3.076516104,15.99716125
1973,11,,4.831066494,8.851666298,4.554800014,3.826266651,19.43386635
1973,12,,6.710580711,12.35535503,6.400774174,4.496903324,20.37638756
1974,1,,2.5343225,14.26819328,8.395225716,5.694322491,24.76154823
1974,2,,4.216571465,12.80071396,6.369571495,4.227857265,18.815
1974,3,,2.439741931,13.45251637,5.721290398,3.025806484,13.37896774
1974,4,,6.142933235,9.304799881,3.441733418,1.681199999,8.666666451
1974,5,,2.941548376,7.417742004,3.141806355,0.984645162,7.358193378
1974,6,,7.291466579,5.630400066,1.970133343,0.493866665,4.86093317
1974,7,,11.69238728,3.936838665,1.874967737,0.561548402,5.404258251
1974,8,,11.69509686,4.309741783,2.00425806,1.113290286,8.501935349
1974,9,,14.22613308,5.083333321,1.720933332,1.393733287,10.04279968
1974,10,,5.495354958,7.865548515,3.550967808,2.858451557,15.83483887
1974,11,,4.031599836,8.225200081,4.451866474,3.792533379,19.83039978
1974,12,,12.1206451,9.761548462,4.232129002,3.470580721,17.33716087
1975,1,,8.273935509,10.65458076,5.282967663,4.154451561,20.42412849
1975,2,,1.514142904,13.32657116,8.124857063,4.849142838,20.43914268
1975,3,,7.742838745,10.22167717,3.981161346,2.523483906,12.86412918
1975,4,,6.330133247,8.184399948,3.215600033,1.655200019,9.746800156
1975,5,,20.64374207,6.736967659,1.736903248,0.64425807,5.072387104
1975,6,,7.843066635,4.713933392,1.925999966,0.467466669,5.170533257
1975,7,,13.19470959,4.925871086,1.710709648,0.543354857,4.60180645
1975,8,,11.49122566,4.425354805,1.524387102,0.851870975,6.902580757
1975,9,,8.168400269,6.565799866,2.90666667,1.93079998,11.48759964
1975,10,,6.170322552,7.684129143,3.730193558,2.736774254,14.40000019
1975,11,,10.88293369,10.26839989,4.345466766,3.358666611,16.29973389
1975,12,,3.422064505,12.15380634,6.867741852,5.136774158,23.32696793
1976,1,,4.820257969,12.53290333,7.090838737,4.824128895,21.40580688
1976,2,,1.586482773,13.4789653,6.350758572,4.194344978,19.12427628
1976,3,,4.647613039,11.14980659,5.146064663,2.917032232,13.89122601
1976,4,,8.455999947,8.718533363,3.107466602,1.657733331,9.683199959
1976,5,,12.59187069,6.604903107,1.808129053,0.686709692,5.500129032
1976,6,,7.547333317,4.828533173,1.641333332,0.468533351,5.037066536
1976,7,,7.452258224,4.061612968,1.486322575,0.551096797,5.593677406
1976,8,,9.574322739,4.026387157,2.153290291,1.141677427,7.860903435
1976,9,,3.987066593,5.83406662,3.170933399,2.061333323,11.54773319
1976,10,,5.167483826,6.209161301,3.078064594,2.505161333,14.45316105
1976,11,,5.681199989,9.295533218,4.411466675,3.590666676,18.15226631
1976,12,,12.35341961,9.849096642,4.641032314,3.669548359,17.56709671
1977,1,,5.494322491,12.78412876,6.468128948,4.803354721,21.80993538
1977,2,,3.316428604,12.92478558,7.787428398,4.614857216,19.455
1977,3,,6.975613098,11.72793526,4.679096794,2.775870991,12.73161285
1977,4,,8.499599743,7.749533272,2.047066669,1.259733367,7.99813343
1977,5,,11.06864498,6.057871056,2.151096706,0.727999997,5.729161167
1977,6,,6.904666748,4.727533226,1.80079998,0.433733344,4.984399986
1977,7,,8.751613026,4.023290329,1.769290371,0.529032242,5.720128918
1977,8,,8.275096569,5.45406456,2.428258047,1.202580595,8.367096748
1977,9,,3.030933294,5.323866653,2.994133282,2.013066702,12.50066666
1977,10,,7.959612961,8.36780632,4.679999924,3.258967733,16.04812935
1977,11,,8.961066685,8.549733238,4.432133465,3.587199965,17.76053322
1977,12,,7.065677547,9.879613113,5.52748394,4.2722579,20.26309738
1978,1,,3.329677391,11.62619362,6.336128902,4.45832262,20.03019371
1978,2,,6.239571342,11.8101429,6.352285748,4.192714138,19.07157158
1978,3,,3.032257986,11.3032259,6.086580658,3.272129011,14.51832272
1978,4,,7.025733395,8.531066437,3.301866713,1.694799957,9.227066879
1978,5,,6.87367754,7.853677559,2.968774214,0.81961292,5.589419365
1978,6,,1.674533334,4.43546669,2.995600014,0.565066679,5.49039999
1978,7,,14.83948391,3.427999916,1.448774176,0.485935485,4.71303215
1978,8,,11.76232246,3.96593544,1.863871021,1.001806436,7.617161274
1978,9,,5.169599934,6.773000069,3.135466681,2.07413331,11.9337331
1978,10,,7.172774124,8.018258018,3.79199995,2.960129118,15.78825825
1978,11,,8.844133358,9.54000042,5.071200047,3.738400059,17.96413292
1978,12,,6.423096828,10.64109688,4.866322498,3.893806362,18.62567741
1979,1,,4.684129162,13.54870945,7.802709503,5.395742035,22.89458054
1979,2,,6.749285851,13.31485733,6.799428635,4.256428547,18.48642883
1979,3,,3.78554841,11.73154812,5.173290367,2.985419416,13.49483871
1979,4,,7.44613327,7.965733299,3.109866705,1.614933367,9.253866692
1979,5,,7.440386944,5.752322731,2.409806452,0.824387097,6.362451744
1979,6,,6.42106657,6.31806675,2.151733341,0.470133338,4.521066647
1979,7,,10.85793556,4.70109663,1.598451614,0.554580665,5.462193584
1979,8,,12.63703209,4.371741867,1.871741982,1.011741948,7.376645279
1979,9,-5.61,11.63586643,5.616000023,1.91626667,1.358799963,8.954000244
1979,10,-4.21,6.060903225,8.214709625,4.125806522,3.034838724,15.99974197
1979,11,-2.4,4.7349335,9.746399956,5.138266582,3.935600109,18.74573303
1979,12,-3.36,11.36167736,10.36122578,5.833806419,4.155870914,19.10580681
1980,1,-2.78,4.414580631,11.01722591,5.807612915,4.356903152,20.34748383
1980,2,-1.66,5.101931038,11.32675869,6.482620583,3.995999985,17.90344772
1980,3,-3.31,5.676387215,9.891806641,4.502064629,2.709677458,13.06735485
1980,4,-4.21,6.534799919,10.27920021,4.395466805,1.951333313,9.355466614
1980,5,-3.33,7.727871151,8.657161064,2.943225861,0.849290321,5.615870857
1980,6,-6.39,6.15973341,5.943733292,1.621333361,0.422266663,4.122666588
1980,7,-4.91,9.450193405,4.630000114,1.763483887,0.55187099,5.09393549
1980,8,-4.52,12.47754829,6.02864502,2.009806395,1.049806428,7.1
1980,9,-3.32,20.25546631,6.516466599,2.107600002,1.612533369,10.19426632
1980,10,-5.98,6.508903255,8.306903114,3.948000011,2.901032209,15.22258045
1980,11,-1.63,4.819866657,9.95219986,6.256799889,4.272533474,19.6346669
1980,12,-1.91,1.544387136,12.47606472,8.419097061,5.256257915,21.71109741
1981,1,-0.69,2.134967742,15.353097,9.659871025,5.87974205,23.48490379
1981,2,-1.62,2.393857141,14.70121429,8.32342865,4.666857014,18.91557129
1981,3,-2.46,6.024257927,10.94412891,4.196258087,2.495225859,11.73225784
1981,4,-2.63,11.26093342,9.460933266,3.285866623,1.642933364,8.706000061
1981,5,-6.25,5.101677437,7.154257965,2.699871016,0.830967748,6.113935375
1981,6,-5.02,5.703733139,5.406866837,2.089866657,0.491066687,4.641333408
1981,7,-4.16,10.53483887,4.106709709,1.817677431,0.560258079,5.184257984
1981,8,-5.35,10.95393536,4.532387123,2.056129055,0.994451604,7.167354774
1981,9,-5.28,8.332399731,6.890800095,2.973066635,1.869066696,10.67920021
1981,10,-3.67,7.186580582,8.274387016,4.565032387,3.206451702,15.77432278
1981,11,,7.402266674,9.585266495,5.525733204,4.110400028,19.66146721
1981,12,,3.36541934,11.39961311,6.642709827,4.791870861,21.89509727
1982,1,-2.67,4.858064461,13.42470993,8.207613068,5.170580578,21.57290329
1982,2,-1.96,2.969571466,12.95814304,8.401857185,4.738142853,19.68928612
1982,3,-3.33,6.277161293,12.25612919,6.62993557,3.364128971,14.27264538
1982,4,-5.47,4.68973341,8.916733208,3.095466576,1.593866644,9.121066856
1982,5,-3.65,14.36219345,6.858774223,1.787870951,0.644903219,4.879096889
1982,6,-6.12,5.091599922,4.505866604,2.003733358,0.47426667,5.209999886
1982,7,-4.66,5.380903244,3.511612892,1.932645121,0.578322589,6.121419239
1982,8,-3.41,5.325161362,6.81864502,2.728516092,1.264258051,7.63535471
1982,9,-1.16,9.079333115,5.447599945,3.091600056,1.999600048,11.60760006
1982,10,-2.88,7.111354752,7.249032135,3.694967747,3.021548414,16.68528992
